Brown,G Building,600,500,2000,20,40,100,300,900,2500
Brown,T Building,600,500,2000,40,80,200,600,1800,4500
Blue,H Building,1000,500,2000,60,120,300,900,2700,5500
Blue,EB Building,1000,500,2000,80,160,400,1000,3000,6000
Blue,N Building,1200,500,2000,80,160,400,1000,3000,6000
Pink,90. Dormitory,1400,1000,4000,100,200,500,1500,4500,7500
Pink,91. Dormitory,1400,1000,4000,100,200,500,1500,4500,7500
Pink,55. Dormitory,1600,1000,4000,120,240,600,1800,5000,9000
Orange,MA Building,1800,1000,4000,140,280,700,2000,5500,9500
Orange,SB Building,1800,1000,4000,140,280,700,2000,5500,9500
Orange,76. Dormitory,2000,1000,4000,160,320,800,2200,6000,10000
Red,69. Dormitory,2200,1500,6000,180,360,900,2500,7000,10500
Red,70 Building,2200,1500,6000,180,360,900,2500,7000,10500
Red,A Building,2400,1500,6000,200,400,1000,3000,7500,11000
Yellow,V Building,2600,1500,6000,220,440,1100,3300,8000,11500
Yellow,EA Building,2600,1500,6000,220,440,1100,3300,8000,11500
Yellow,B Building,2800,1500,6000,240,480,1200,3600,8500,12000
Green,FF Building,3000,2000,8000,260,520,1300,3900,9000,12750
Green,81. Dormitory,3000,2000,8000,260,520,1300,3900,9000,12750
Green,SA Building,3200,2000,8000,280,560,1500,4500,10000,14000
DarkBlue,MSSF Building,3500,2000,8000,350,700,1750,5000,11000,15000
DarkBlue,EE Building,4000,2000,8000,500,1000,2000,6000,14000,20000
