BROWN,G Building,600,500,2000,20,40,100,300,900,2500
BROWN,T Building,600,500,2000,40,80,200,600,1800,4500
LIGHTSKYBLUE,H Building,1000,500,2000,60,120,300,900,2700,5500
LIGHTSKYBLUE,EB Building,1000,500,2000,80,160,400,1000,3000,6000
LIGHTSKYBLUE,N Building,1200,500,2000,80,160,400,1000,3000,6000
HOTPINK,90. Dormitory,1400,1000,4000,100,200,500,1500,4500,7500
HOTPINK,91. Dormitory,1400,1000,4000,100,200,500,1500,4500,7500
HOTPINK,55. Dormitory,1600,1000,4000,120,240,600,1800,5000,9000
ORANGE,MA Building,1800,1000,4000,140,280,700,2000,5500,9500
ORANGE,SB Building,1800,1000,4000,140,280,700,2000,5500,9500
ORANGE,76. Dormitory,2000,1000,4000,160,320,800,2200,6000,10000
RED,69. Dormitory,2200,1500,6000,180,360,900,2500,7000,10500
RED,70 Building,2200,1500,6000,180,360,900,2500,7000,10500
RED,A Building,2400,1500,6000,200,400,1000,3000,7500,11000
YELLOW,V Building,2600,1500,6000,220,440,1100,3300,8000,11500
YELLOW,EA Building,2600,1500,6000,220,440,1100,3300,8000,11500
YELLOW,B Building,2800,1500,6000,240,480,1200,3600,8500,12000
LIMEGREEN,FF Building,3000,2000,8000,260,520,1300,3900,9000,12750
LIMEGREEN,81. Dormitory,3000,2000,8000,260,520,1300,3900,9000,12750
LIMEGREEN,SA Building,3200,2000,8000,280,560,1500,4500,10000,14000
DARKBLUE,MSSF Building,3500,2000,8000,350,700,1750,5000,11000,15000
DARKBLUE,EE Building,4000,2000,8000,500,1000,2000,6000,14000,20000
